Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Exceptional,Very clean and fresh. Perfect room for family. Close to airport. Very kind hosts made late check in simple.,,10.0,United Kingdom,Suite with Balcony,1,2022-06-01,Family,,11,0,107,0,10.0,No,2,5,1
The owners welcomes you personally and you feel at home,"the Cyprus hospitality at the highest level. Feel at home in 1 minute with owners welcoming you with a big smile.
the location is convenient and the room had a big balcony","hospitality, location, quiet",10.0,Switzerland,Standard Triple Room,1,2022-06-01,Family,,55,0,171,28,10.0,No,5,5,3
Wonderful,Exceptionally friendly service of hotel and restarant in same building. Attention and service superb.,,9.0,Lithuania,Suite with Balcony,1,2022-06-01,Family,,9,0,101,0,9.0,Yes,1,5,1
Will definitely stay again,"location, clean and very good value",all was good nothing bad to say,9.0,United Kingdom,Double Room with Balcony,1,2022-05-01,Couple,,26,0,35,31,9.0,No,3,4,4
Wonderful,"very friendly staff, rooms were clean and ideally situated for the airport",,9.0,Cyprus,Double Room with Balcony,1,2022-05-01,Couple,,9,0,74,0,9.0,No,1,5,1
Exceptional,"Great location for a late flight, everything was clean and nice in the room. We arrived late and got great instructions on how to get in on our own. Terrific late breakfast at the café downstairs, the manager catered to our every need",Nothing. Great for the price and our purpose of a late night flight arrival,10.0,Iceland,Two-Bedroom Suite,1,2022-05-01,Family,,11,0,234,75,10.0,No,2,5,5
"Arrived at 11pm after a long flight, was shown immediately to our room, the staff showed us how to get back in if the fr","Beautiful property, super clean, rooms where really spacious and fresh and clean. Breakfast was amazing in a beautiful setting and the management are wonderful.",liked everything a little far from local shop but have everything we need in the cafe.,9.0,United Kingdom,Suite with Balcony,1,2022-05-01,Family,,120,0,160,86,9.0,No,5,5,5
Superb accommodation in a great location,"great location for bars, restaurants and beach at a very good rate for the excellent standard of accommodation",nothing all good,10.0,United Kingdom,Double Room with Balcony,3,2022-05-01,Couple,,40,0,110,16,10.0,No,4,5,2
It was a pleasant stay,"Great location with very welcoming staff, and very clean",,10.0,Jordan,Double Room with Balcony,4,2022-05-01,Solo,,22,0,56,0,10.0,No,3,5,1
Good spot in larnaca,"Modern hotel with good facilities. Although small, the room was comfortable. However, the bathroom was a good size and well appointed. Breakfast as an extra was good.
The hotel is about 100m from the 425 bus route which runs to the airport, about 10 minutes away. A ticket costs 2 Euros, a far better option than paying 15 Euros for a taxi.",Nothing,10.0,Australia,Double Room,1,2022-05-01,Solo,,20,0,340,7,10.0,No,2,5,1
"Lovely, staff very helpful",clean and comfortable,,10.0,United Kingdom,Double Room,1,2022-05-01,Group,,26,0,21,0,10.0,No,3,3,1
Close to airport,close to the airport,"stingy smell from the bathroom
quite small room",8.0,Finland,Double Room,1,2022-05-01,Couple,,16,0,20,47,8.0,No,2,2,5
Very good,Light and airy and clean room. Not far from the sea.,There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.,8.0,United Kingdom,Double Room,2,2022-05-01,Solo,,9,0,52,134,8.0,No,1,5,5
Exceptional,"Thank you so much for a very warm welcome and comfortable stay. The hotel manager was reachable at all times due to my flight times and further delays. I couldn't have asked for more informative and reassuring service. 5 star service!
The location is very nice of this hotel due to such close proximity to the beach and restaurants. 
Most importantly it is very clean! All in all, awesome!",Nothing,10.0,United Kingdom,Double Room with Balcony,2,2022-05-01,Solo,,11,0,389,7,10.0,No,2,5,1
Would definitely recommend! close to nice beach strip and airport and very clean and comfy bed,"spacious room and minifridge; large bathroom; very clean and comfy bed and lovely little balcony; staff was very friendly and lend me an adaptor several times. 
i didnt want to be in the center so for me the location was perfect! walking distance to airport and close to the more luxurious beach strip with delicious restaurants.","for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost.",9.0,Belgium,Double Room,1,2022-05-01,Solo,,94,0,329,233,9.0,No,5,5,5
Exceeds your expectations,"Very clean, comfortable and pleasant! The staff were very accommodating and kind. We will definitely come again! highly recommended!",nothing!,8.0,Cyprus,Double Room with Balcony,1,2022-05-01,Group,,25,0,132,8,8.0,No,3,5,1
Excellent,Very modern clean beautifully kept hotel near beaches and restaurants,All good,10.0,United Kingdom,Double Room with Balcony,1,2022-05-01,Couple,,9,0,69,8,10.0,No,1,5,1
Would recommend it very good for short stay.,,nothing,8.0,Lebanon,Double Room with Balcony,1,2022-05-01,Couple,,44,0,0,7,8.0,No,5,1,1
The best experience we could have asked for,"We booked this hotel last minute and we were extremely happy with the service. They have great staff, are very welcoming and the restaurant at floor level is awesome - Richard is a great chef and his friendliness will make you want to extend your vacation for sure. We felt like we were part of their community and this is due to their opennes. The room was extremely clean and their room service makes sure to keep it this way, All in all, the best experience we could have asked for",Nothing we can think of,10.0,Romania,Double Room with Balcony,7,2022-05-01,Couple,,43,0,484,23,10.0,No,5,5,3
"Friendly staff, clean and modern rooms, great value. we’d definitely stay again","The owners were very friendly and helpful. The hotel is small, which we liked, and is about 10 minutes from the airport.  The rooms were a nice size, very clean, and modern. We had both a family room and a double room, and they were perfect for our quick stay.  The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street.  That’s the only negative. We also had dinner there, and the food was very good and the chef  was very friendly. We’ll stay again if we travel to Larnaca in the future.","The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",9.0,United States of America,Double Room with Balcony,1,2022-05-01,Family,,79,0,557,168,9.0,No,5,5,5
Simply fantastic,cleanliness,very good location,10.0,United Kingdom,Double Room with Balcony,1,2022-05-01,Couple,,16,0,11,18,10.0,No,2,2,2
Would absolutely stay again,"Absolutely everything was great!!!!!!!!!  Staff super kind, professional, polite and helpful. Bed was soooooooo comfortable, I didn't want to leave my room!! Also thank you for taxi, it arrived right in time!","Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",10.0,Czech Republic,Double Room with Balcony,1,2022-05-01,Solo,,27,0,208,215,10.0,No,3,5,5
Wonderful,All,,9.0,Cyprus,Budget Twin Room,2,2022-05-01,Couple,,9,0,3,0,9.0,No,1,1,1
This is a five star hotel in all respects.,"Our stay was just about perfect. This is one of the most impressive stays we ever had with a Booking.Com reservation.  The location allowed us to walk to the beach and restaurants.  The family that runs the hotel was incredibly friendly and very, very nice.  The rooms, lobby and restaurant were lovely; exceedlingly modern, and comfortable.  We ate dinner at the hotel because we were so impressed with ""chef Richard"" and the food was fabulous.   Were had cocktails on the lovely patio and had the chance to meet and chat with other guests.",,10.0,United States of America,Double Room with Balcony,1,2022-05-01,Group,,42,0,541,0,10.0,No,5,5,1
"Great cosy one night stay before going to airport, location for airport cannot be better",friendly staff,,10.0,Slovenia,Double Room,1,2022-05-01,Couple,,88,0,14,0,10.0,No,5,2,1
Very handy for a night out at mackenzie beach,Exceptionally clean and brand new. Breakfast was freshly made and delicious. Everyone very friendly,,8.0,Cyprus,Double Room with Balcony,1,2022-05-01,Couple,,45,0,99,0,8.0,No,5,5,1
I go again for sure,cleanliness and quietness,nothing,9.0,Cyprus,Double Room,1,2022-05-01,Solo,,19,0,25,7,9.0,No,2,3,1
Perfect gem close to the airport.,"Wonderful modern family run small hotel.  It’s very close to the airport which worked for us.  The rooms are spotless, the shower fantastic. The pictures are very true to life. The family were so helpful.  THANKYOU!",Nothing.,10.0,United Kingdom,Double Room with Balcony,2,2022-04-01,Couple,,33,0,215,8,10.0,No,4,5,1
Nice hotel close to larnaca airport,"Very cozy, modern, clean hotel close to the airport. The staff is super friendly and attentive. The room is spacious and new. The location is super convenient, only few steps from the beach. Highly recommended!",,10.0,Germany,Double Room with Balcony,1,2022-05-01,Couple,,35,0,210,0,10.0,No,4,5,1
"Close to the airport as we were in transit to another destination. the room was great, spotless, fresh and modern.",clean and modern,nothing,9.0,United Kingdom,Double Room,1,2022-05-01,Couple,,114,0,16,7,9.0,No,5,2,1
Wonderful,"Very modern, clean hotel
Great location, quiet
Lovely staff",,9.0,United Kingdom,Double Room,1,2022-04-01,Couple,,9,0,59,0,9.0,No,1,5,1
Exceptional,"Great accommodation, wonderful staff, delicious food, tranquility! I heartily recommend it!",it wasn't like that!,10.0,Hungary,Double Room,2,2022-04-01,Couple,,11,0,91,20,10.0,Yes,2,5,2
Just the job when arriving at larnaca airport and needing to stay overnight,excellent location near airport then easy drive into larnaca. very friendly and helpful staff.,only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.,10.0,United Kingdom,Double Room with Balcony,1,2022-04-01,Couple,,75,0,94,127,10.0,No,5,5,5
Wonderful,"Friendly staff, delicious breakfast. Very comfortable beds. 10 mins walk to Mackenzie Beach and 40 mins (3 km) walk to downtown on a nice promenade.",,9.0,Hungary,Suite with Balcony,3,2022-04-01,Family,,9,0,148,0,9.0,No,1,5,1
Exceptional,Everything was clean and cozy. We were introduced very good in everything and we felt very good there!,,10.0,Germany,Family Suite with Balcony,1,2022-04-01,Group,,11,0,102,0,10.0,No,2,5,1
Exceptional,"Clean, great attentive staff, location.
We booked the hotel to facilitate a stop over due to a late flight into Larnaca before travelling onto our holiday villa. What a pleasant surprise. The hotel was close to the airport - 6 minutes by taxi (€20) - and we arrived late. The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel. We slept well in a comfy clean bed and had a terrific breakfast on the terrace before they arranged a car for us to get back to the airport to collect our hire car. Nice start to our holiday highly recommenced.",Nothing,10.0,United Kingdom,Double Room with Balcony,1,2022-04-01,Couple,,11,0,598,7,10.0,No,2,5,1
"Lovely boutique hotel with super friendly staff and convenient location to beach, restaurants and the airport.",room was big enough with comfy beds for family of four; liked having a small balcony for outdoor space.,,10.0,Czech Republic,Family Suite with Balcony,1,2022-04-01,Family,,110,0,103,0,10.0,No,5,5,1
Pleasant stay,Friendly staff.clean and comfortable beds.,,8.0,Cyprus,Standard Triple Room,1,2022-04-01,Family,,13,0,42,0,8.0,Yes,2,5,1
Great value for money,"Booked this as it was near the airport and we arrived at 11pm and didn’t seem worth paying for one night at the 5 star we stayed at for the rest of the holiday. 
Very warm welcome and very clean and comfortable- as good a hotel as I’ve stayed at for £50 a night.",,8.0,United Kingdom,Double Room with Balcony,1,2022-04-01,Couple,,21,0,262,0,8.0,No,3,5,1
It’s was wonderful,it’s clean and very nice crew,,9.0,Israel,Double Room,3,2022-04-01,Couple,,18,0,29,0,9.0,No,2,3,1
Very good,Helpful staff arranged a taxi for us from the airport to the hotel. The hotel was basic but clean and comfortable.,,8.0,United Kingdom,Family Suite with Balcony,1,2022-03-01,Family,,9,0,114,0,8.0,No,1,5,1
"Ideal location, very comfortable, much nicer than we anticipated, very pleasant surprise. very good.","La Veranda has been recently refurbished and the rooms and bathroom, were both modern and comfortable, balcony with sea view. Easy walk to Mackenzie Beach and short journey from airport. Good breakfast available if required, staff extremely helpful and friendly. Nothing to much trouble.",Nothing really.,10.0,United Kingdom,Double Room with Balcony,5,2022-04-01,Couple,thank you so much for your nice detailed comments; we are happy that you had a nice stay. hope to see you another time.,100,119,287,15,10.0,No,5,5,2
"Superb stay, lovely staff, wonderful food and very convenient for the airport and larnaca","clean, super friendly, convenient",nothing,10.0,United Kingdom,Standard Triple Room,1,2022-04-01,Family,thank you so much; we are happy that you had a nice stay. hope to see you another time.,89,87,33,7,10.0,Yes,5,4,1
Great place near airport,"It was easy at the time to park car outside. Clean rooms, helpful staff.",,9.0,Ukraine,Double Room,3,2022-02-01,Family,,24,0,72,0,9.0,Yes,3,5,1
I was very happy that i have chosen la veranda hotel,Location very convenient. Near the beach and the Restaurants. Public Bus station at 30 meters from the hotel. Also very close to the airport.,,10.0,Lebanon,Double Room,1,2022-04-01,Solo,thank you so much for your nice review; we are happy that you had a nice stay. hope to see you another time.,52,108,141,0,10.0,No,5,5,1
Comfortable and clean,"La Veranda Hotel is very comfortable and clean.
The staff is very nice 😃
The Breakfast is so delicious
Great location !! Near Mackenzie beach and very close to the center.
I highly recommend😁",Nothing. All was great,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,21,0,191,22,10.0,No,3,5,3
Simply excellent,"It's my second time at La Veranda and I can honestly say that this is one of the best hotels in the region, if not the best. Would definitely recommend it!",,10.0,France,Double Room,1,2022-04-01,Solo,,16,0,155,0,10.0,No,2,5,1
La veranda hotel offers everything you need.,"I had a wonderful experience at the La Veranda Hotel. Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help! Thank you! Will recommend to my colleagues!",,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,44,0,220,0,10.0,No,5,5,1
So this was a big plus. the service was exceptional as well. would definitely send a friend there.,"The rooms were clean, very comfortable, and the staff was amazing. They went over and beyond to help make my stay enjoyable. I highly recommend this hotel for anyone visiting downtown!!",,10.0,Lebanon,Double Room,1,2022-04-01,Solo,,98,0,185,0,10.0,Yes,5,5,1
5 mins from the beach,"friendly staff who allow you to check in the early hours of morning , 45 min walk to airport",locks on windows didn’t seem secure,8.0,United Kingdom,Double Room with Balcony,2,2022-03-01,Solo,,21,0,92,35,8.0,No,3,5,4
Wonderful,"The staff is always very helpful, exceptional!","Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!",9.0,Israel,Double Room,4,2022-03-01,Solo,,9,0,46,145,9.0,No,1,5,5
The staff were wonderful and the hotel was lovely.,"The staff were wonderful, so friendly and welcoming and the food was superb. The hotel was clean and easy for the airport.",,9.0,Austria,Double Room,1,2022-03-01,Couple,,50,0,122,0,9.0,No,5,5,1
Very good,"The hotel is in a residential neighborhood of apartments and is modern.  The bed linens were wonderful and the mattress was neither too hard or soft.  Breakfast is not included in the hotel cost.  However, there is small restaurant within the hotel lobby that charged $10 euros for a very nice hot breakfast (no menu - you get whatever is served).  The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.",,8.0,United States of America,Double Room with Balcony,1,2022-03-01,Couple,,9,0,447,0,8.0,No,1,5,1
Convenient and perfect rooms for a family stay.,"Very smart, modern rooms and everything you need. Family feel and very friendly. Having a family suite was a big bonus and lots of space.",Immediate location wasn’t inspiring but lovely restaurants very close in the sea front and handy for Limassol and airport.,8.0,United Kingdom,Two-Bedroom Suite,1,2022-02-01,Family,,47,0,137,122,8.0,No,5,5,5
"Welcoming, reliable and a comfortable stay!","This hotel is in a great location for the airport and restaurants. The owner and staff are so welcoming and helpful. Taking time to print off flight documentation, booking taxis and even when my flight was cancelled, I was able to keep my room for longer without a problem.",,10.0,United Kingdom,Double Room,1,2022-02-01,Solo,thank you so much for your nice detailed review; we are happy that you had a nice stay. hope to see you another time.,43,117,273,0,10.0,No,5,5,1
Wonderful,"Very nice hotel, close to the beach, but situated in a quiet place. Helpful, friendly staff. Tasty breakfast.",,9.0,Poland,Double Room,1,2022-02-01,Couple,,9,0,109,0,9.0,No,1,5,1
"Book with confidence, well run, modern rooms, and very clean","Everything was very clean and modern and staff was very friendly. I arrived late at night and it was not a problem, They also were very responsive to any pre-arrival questions",It was all good!,10.0,United Kingdom,Double Room,1,2022-02-01,Solo,thank you so much for your nice detailed review; we are happy that you had a nice stay. hope to see you another time.,60,117,175,16,10.0,No,5,5,2
It was maybe the best hotel we stayed in during our time in cyprus. very convenient for the airport.,"La Veranda was very clean, provided everything needed (even a bottle of water in the room!), and was flexible with our schedule. The staff was excellent. There are a series of delicious and fun restaurants on the beach quite close to the hotel, which the staff of the hotel kindly told us about.",The view from the rooms,8.0,France,Family Suite with Balcony,1,2022-02-01,Family,,100,0,295,23,8.0,No,5,5,3
Very good,Clean and nice place,It takes too long hot water to reach tap/shower in the room,8.0,Bulgaria,Double Room,1,2022-02-01,Solo,,9,0,20,59,8.0,No,1,2,5
Wonderful,Very convenient location for arriving at the airport.,,9.0,United Kingdom,Double Room with Balcony,1,2022-02-01,Group,,9,0,53,0,9.0,No,1,5,1
Very good,"Very clean, nice bed and linen.
Good value.
Allowed to take dog was the reason for booking.",Some smell from bathroom/water.,8.0,Cyprus,Double Room with Balcony,1,2022-01-01,Couple,,9,0,91,31,8.0,No,1,5,4
Boutique hotel in the quiet area,"Boutique hotel in the quiet area. Staff was friendly and helpful. Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings. Good, tasty breakfest.",,8.0,Poland,Double Room with Balcony,1,2021-12-01,Group,,32,0,243,0,8.0,No,4,5,1
"Warm and nice, will visit again",A nice and clean boutique hotel. Close to airport and Makenzie beach area. Taxi fare to airport around 15-18 euro.,The room does not maintain well noise insulation. but this is typical in the area,10.0,United Kingdom,Double Room,1,2021-12-01,Solo,,31,0,114,81,10.0,No,4,5,5
"Great value for money, great staff","Staff were happy to go above and beyond to help me with Covid restrictions for the airport, which was very close by. I actually had a couple of issues that would have made it hard for me to travel had it not been for the staff. The breakfast was good. The room and location were excellent value for money- I was also upgraded a room free of charge, I suspect because the hotel was quite empty. Lovely balcony view of the ocean.",,10.0,United Kingdom,Double Room,1,2021-12-01,Solo,,34,0,427,0,10.0,No,4,5,1
Exceptional,"Friendly staff
Very clean and cozy
Close to the airport",,10.0,Ukraine,Standard Triple Room,1,2021-12-01,Family,,11,0,55,0,10.0,No,2,5,1
Good would stay again,"Did not have breakfast. Good location for airport , only 8 minutes  by car",The Smart television did not work,8.0,Cyprus,Double Room with Balcony,1,2021-12-01,Couple,,21,0,74,33,8.0,No,3,5,4
Exceptional,"Very pleasant, helpful and friendly staff.",All good,10.0,Ireland,Double Room,1,2021-12-01,Solo,,11,0,42,8,10.0,No,2,5,1
Nice people kind and sweet,clean basic,it was ok,8.0,Netherlands,Double Room,1,2021-11-01,Couple,,26,0,11,9,8.0,No,3,2,1
Home in larnaca,"It was my second time in the hotel and everything was just great:
the new and well furnished hotel with comfortable rooms;
the location is good, only 20 minutes away from the centre but located in a quiet area;
room was cleaned every day;
the staff is polite and helpful;
wifi is strong all the time;
the hosts are very kind and smiling people;
the Garnish restaurant downstairs is a very warm and cosy place with tasty breakfasts every morning. Mr. Richard and Sendi are awesome, it’s such a pleasure to start a day with their smiles.
In short, I will definitely comeback to La Veranda Hotel, the atmosphere there makes you feel like home.
Worth every Euro you spend.",No such thing.,10.0,Russia,Double Room with Balcony,9,2021-12-01,Solo,,15,0,668,14,10.0,No,2,5,2
Exceptional,,TV CHANNELS TO BE FIXED :),10.0,Cyprus,Double Room with Balcony,1,2021-12-01,Solo,,11,0,0,26,10.0,No,2,1,3
Exceptional,recently refurbished and very clean!,,10.0,United Kingdom,Double Room,1,2021-12-01,Couple,,11,0,36,0,10.0,No,2,4,1
Perfect,"location is good you can take bus 425 from the airport to somewhere close enough to the hotel. stuff were super nice! room is spacious and clean, bed is comfy too.",,10.0,United Kingdom,Double Room,1,2021-11-01,Couple,,7,0,163,0,10.0,No,1,5,1
Pleasurable stay guaranteed!,"I had a great experience staying at La Veranda hotel right from start till the end.
The staff was very welcoming and friendly, the room is just as in the pictures; newly renovated, fully functional and most importantly comfortable and clean.
The hotel's location is convenient. Very easy to catch public transportations, many café around and close to the center.",,10.0,Lebanon,Double Room,1,2021-11-01,Solo,,28,0,362,0,10.0,No,3,5,1
Absolutely beautiful!,"My stay at this hotel was a great experience and would definitely come back with my family! The staff was so helpful, friendly and welcoming. My one night stay felt like home! Great location very close to the airport, 1 minute walk to the bus station, beach and restaurants.
The room was very clean and spacious. The mini bar was rich and very well priced, even breakfast was presentable and tasty!
Highly recommended!",It was cold for a swim:),10.0,Lebanon,Double Room with Balcony,1,2021-11-01,Solo,,21,0,418,24,10.0,No,3,5,3
Best stay ever,"Christmas vibes, nice ambiance. Staff make you feel at home. Quiet area. everything was perfect. definitely will come back.",,10.0,Lebanon,Double Room,1,2021-11-01,Couple,,14,0,123,0,10.0,No,2,5,1
Great hotel,It was very clean.,,9.0,United Kingdom,Two-Bedroom Suite,1,2021-11-01,Family,,11,0,18,0,9.0,No,2,2,1
Great 1 week stay near the beach,"Very welcoming couple, helpful, and happy to help for any situation or question.
I managed to remote work from the room and balcony, that was pleasant.
Would definitely come again!",,10.0,Switzerland,Double Room with Balcony,5,2021-11-01,Couple,,32,0,180,0,10.0,No,4,5,1
Definitely a destination to revisit.,"What i liked most about the hotel is the room, bed sheets and toilet are super clean. Bed is very comfortable. On top of that, the hotel is less than a minute away on foot from the bus station. 
The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes.
The staff was nice, they gave me recommendations on what places to visit and how to roam around.",The weather was a bit cold.,10.0,Lebanon,Double Room,1,2021-11-01,Solo,,36,0,474,27,10.0,No,4,5,3
Exceptional,"First off, the staff. They have been so accommodating and easy to deal with and have gone above and beyond to help us out. We had a delayed flight that landed hours late and when we arrived, all the restaurants were closed. Richard was amazing and whipped us up an excellent pizza even though they were long since closed.",,10.0,Canada,Double Room,1,2021-10-01,Couple,,11,0,321,0,10.0,No,2,5,1
Exceptional,,"Good place , excellent stuff, we will come back",10.0,Israel,Two-Bedroom Suite,1,2021-11-01,Family,,11,0,0,47,10.0,No,2,1,5
"The modern, nice hotel with friendly staff","The modern, nice hotel, accommodation for one night before departure. The hotel arranged a taxi to the airport for 15 €",,9.0,Czech Republic,Double Room with Balcony,1,2021-10-01,Couple,,42,0,119,0,9.0,No,5,5,1
Loved it staying here,Wonderful people on reception and in the restaurant :) always smiling and glad to help,"Nothing :) it was soo nice and cosy, made me feel welcome from the first moment of arrival",9.0,United Kingdom,Double Room with Balcony,3,2021-11-01,Solo,,21,0,86,90,9.0,No,3,5,5
Terrific,The management/husband and wife/were fantastic as were all the staff!,,9.0,Czech Republic,Double Room with Balcony,1,2021-10-01,Solo,,8,0,69,0,9.0,No,1,5,1
Clean well maintained hotel,"we stayed in this hotel one night prior to our departure from Cyprus - close proximity to Larnaca airport. close to Mckenzie beach with lots of restaurants for dinner, hotel allowed us to check out later prior to our flight. breakfasts were nice. very clean.",all was good,10.0,Russia,Family Suite with Balcony,1,2021-10-01,Family,,27,0,258,12,10.0,No,3,5,2
Very nice hotel,"Very clean, staff very welcoming and helpful. Pet friendly hotel, highly recommended we had no extra charge for our dogs, quick response when asking about bringing them. Nice freshly decorated rooms.",Nothing.,9.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Couple,,15,0,199,8,9.0,No,2,5,1
Stayed here before airplane departure,the place was very clean and there’s an incredibly kind and helpful staff. food was delicious and everything was very clean. the airport is very close and the beach is a five minute walk away. they were very flexible about our strange schedule.,the pool is tiny and the bathrooms can smell like bad plumbing.,9.0,Spain,Double Room,2,2021-10-01,Family,,37,0,244,63,9.0,No,4,5,5
Superb value for money stay in a clean hotel with friendly staff!,Super friendly staff. Nicely renovated and clean hotel. Quiet street with sufficient parking facilities. Fantastic value for money.,,10.0,Belgium,Double Room with Balcony,1,2021-10-01,Couple,,65,0,131,0,10.0,No,5,5,1
Perfect quality for reasonable price,"fresh just renovated, with good wifi, in 5 minutes from airport, super fast checkin/checkout","nothing, maybe they could leave more water",10.0,Netherlands,Double Room with Balcony,1,2021-10-01,Family,,36,0,92,42,10.0,No,4,5,5
The verandas,it’s was exceptionally clean and staff all very friendly,,10.0,United Kingdom,Double Room with Balcony,5,2021-10-01,Couple,,12,0,56,0,10.0,No,2,5,1
"Excellent stay, faultless hotel!","Perfect location to McKenzie Beach and only a 30 minute walk to the central marina. Everyone was very accommodating and welcoming. 
A nice addition to the very clean and tidy room is Netflix.","I have no reason to complain, everything was great!",10.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Solo,,32,0,191,51,10.0,No,4,5,5
Wonderful,Did not have breakfast.  Left too early.,Nothing,9.0,Spain,Double Room with Balcony,1,2021-10-01,Couple,,9,0,40,7,9.0,No,1,4,1
Wonderful,"Staff were very friendly and extremely helpful. A lovely family hotel, refurbished during the main Corona period. In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.","Refurbishment not totally complete, so safety box wasn’t working. Our room was a family suite (for 4 people), so could do with one more double hook in bathroom for towels.",9.0,Denmark,Family Suite with Balcony,1,2021-10-01,Family,,9,0,215,171,9.0,No,1,5,5
Clean and comfortable,"I stayed for one night as I arrived late at night at Larnaca Airport and was going to another city (Limassol) the next day. The receptionist was waiting for me to arrive, even though it was after the usual open hours. The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable.",,9.0,Denmark,Double Room with Balcony,1,2021-10-01,Solo,,21,0,321,0,9.0,No,3,5,1
Wonderful,"location, room",,9.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,9,0,14,0,9.0,No,1,2,1
Very happy,Well organised and clean,,9.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Solo,,10,0,24,0,9.0,No,1,3,1
Very nice.,"Excellent everything.  We got there early, around 10 am and they had our room ready.  The place was clean, spacious and really nice.  It was a pleasant walk to the sea but there was not much else to do close by.",More restaurants.,10.0,United States of America,Family Suite with Balcony,1,2021-10-01,Group,,10,0,211,17,10.0,No,1,5,2
"Modern, clean and good value!","I stayed in this hotel (twice) because of the location to the airport.  But, I found it be clean, modern, comfortable and great value for money.  It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail.  The rooms are a bit small, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable.  The staff is nice and it's very welcoming.",location - if you want to be in the center of everything (I didn't),8.0,Jordan,Double Room with Balcony,1,2021-10-01,Solo,,29,0,450,67,8.0,No,3,5,5
Very good,"Room was excellent, very clean and everything seems fairly new. Staff was very helpful. Location is also very good if you have a morning flight, airport is a 7 min drive away.","The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM.",8.0,Romania,Double Room with Balcony,1,2021-10-01,Group,,9,0,175,160,8.0,No,1,5,5
Exceptional,"nice small hotel not far from the airport.
everything was good. clean and fresh rooms, good hosts, and 5 min walk to the beach.","smell from the lake, but it doesn’t depend on the hotel.",10.0,Ukraine,Two-Bedroom Suite,1,2021-10-01,Group,,11,0,127,56,10.0,No,2,5,5
Wonderful,Clean and freshly renovated room,,9.0,Ukraine,Double Room with Balcony,1,2021-10-01,Solo,,9,0,32,0,9.0,No,1,4,1
Wonderful,This Hotel was perfect for us because we arrived late at night with the intention to get some rest before we continued our journey. It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort. The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay. I would rate him 10/10 for sure!,,9.0,Sweden,Double Room,1,2021-10-01,Couple,,9,0,408,0,9.0,No,1,5,1
Perfect place for shorter vacations.,"Everything was very clean, the bed was comfortable, spacious bathroom. The beach is very close and the bus to the airport is only 50 meters away.","The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.",9.0,Hungary,Double Room with Balcony,1,2021-10-01,Couple,,36,0,145,196,9.0,No,4,5,5
Wonderful,Small and quiet,,9.0,Ukraine,Double Room with Balcony,7,2021-10-01,Couple,,9,0,15,0,9.0,No,1,2,1
Exceptional,The staff was exceptional. They were really customer-centric and kind. The breakfast was really delicious too 😊,Nothing. It was perfect,10.0,Germany,Double Room with Balcony,4,2021-10-01,Solo,,11,0,111,23,10.0,No,2,5,3
Exceptional,"Clean fresh nice and peaceful 
Very welcoming",All spot on,10.0,United Kingdom,Double Room with Balcony,1,2021-10-01,Group,,11,0,45,11,10.0,No,2,5,2
